j,k,level,marginal,lower,upper,scale
r1,1,1.0,1.0,0.0,1.0,1.0
r1,2,1.0,1.0,0.0,1.0,1.0
r2,1,0.0,1.0,0.0,1.0,1.0
r2,2,0.0,1.0,0.0,1.0,1.0
r3,1,1.0,1.0,0.0,1.0,1.0
r3,2,1.0,1.0,0.0,1.0,1.0
r4,1,1.0,1.0,0.0,1.0,1.0
r4,2,1.0,1.0,0.0,1.0,1.0
r5,1,1.0,1.0,0.0,1.0,1.0
r5,2,1.0,1.0,0.0,1.0,1.0
r6,1,0.0,1.0,0.0,1.0,1.0
r6,2,0.0,1.0,0.0,1.0,1.0
r7,1,0.0,1.0,0.0,1.0,1.0
r7,2,0.0,1.0,0.0,1.0,1.0
r8,1,0.0,1.0,0.0,1.0,1.0
r8,2,0.0,1.0,0.0,1.0,1.0
r9,1,0.0,1.0,0.0,1.0,1.0
r9,2,0.0,1.0,0.0,1.0,1.0
r10,1,0.0,1.0,0.0,1.0,1.0
r10,2,0.0,1.0,0.0,1.0,1.0
r11,1,0.0,1.0,0.0,1.0,1.0
r11,2,0.0,1.0,0.0,1.0,1.0
r12,1,0.0,1.0,0.0,1.0,1.0
r12,2,0.0,1.0,0.0,1.0,1.0
r13,1,1.0,1.0,0.0,1.0,1.0
r13,2,1.0,1.0,0.0,1.0,1.0
r14,1,0.0,1.0,0.0,1.0,1.0
r14,2,0.0,1.0,0.0,1.0,1.0
r15,1,0.0,1.0,0.0,1.0,1.0
r15,2,0.0,1.0,0.0,1.0,1.0
r16,1,0.0,1.0,0.0,1.0,1.0
r16,2,0.0,1.0,0.0,1.0,1.0
r17,1,0.0,1.0,0.0,1.0,1.0
r17,2,0.0,1.0,0.0,1.0,1.0
r18,1,1.0,1.0,0.0,1.0,1.0
r18,2,1.0,1.0,0.0,1.0,1.0
r19,1,0.0,1.0,0.0,1.0,1.0
r19,2,0.0,1.0,0.0,1.0,1.0
r20,1,0.0,1.0,0.0,1.0,1.0
r20,2,0.0,1.0,0.0,1.0,1.0
r21,1,1.0,1.0,0.0,1.0,1.0
r21,2,1.0,1.0,0.0,1.0,1.0
r22,1,0.0,1.0,0.0,1.0,1.0
r22,2,0.0,1.0,0.0,1.0,1.0
r23,1,1.0,1.0,0.0,1.0,1.0
r23,2,1.0,1.0,0.0,1.0,1.0
r24,1,1.0,1.0,0.0,1.0,1.0
r24,2,1.0,1.0,0.0,1.0,1.0
r25,1,0.0,1.0,0.0,1.0,1.0
r25,2,0.0,1.0,0.0,1.0,1.0
r26,1,1.0,1.0,0.0,1.0,1.0
r26,2,1.0,1.0,0.0,1.0,1.0
r27,1,1.0,1.0,0.0,1.0,1.0
r27,2,1.0,1.0,0.0,1.0,1.0
r28,1,0.0,1.0,0.0,1.0,1.0
r28,2,0.0,1.0,0.0,1.0,1.0
r29,1,1.0,1.0,0.0,1.0,1.0
r29,2,1.0,1.0,0.0,1.0,1.0
r30,1,0.0,1.0,0.0,1.0,1.0
r30,2,0.0,1.0,0.0,1.0,1.0
r31,1,1.0,1.0,0.0,1.0,1.0
r31,2,1.0,1.0,0.0,1.0,1.0
r32,1,0.0,1.0,0.0,1.0,1.0
r32,2,0.0,1.0,0.0,1.0,1.0
r33,1,0.0,1.0,0.0,1.0,1.0
r33,2,0.0,1.0,0.0,1.0,1.0
r34,1,0.0,1.0,0.0,1.0,1.0
r34,2,0.0,1.0,0.0,1.0,1.0
r35,1,0.0,1.0,0.0,1.0,1.0
r35,2,0.0,1.0,0.0,1.0,1.0
r36,1,0.0,1.0,0.0,1.0,1.0
r36,2,0.0,1.0,0.0,1.0,1.0
r37,1,0.0,1.0,0.0,1.0,1.0
r37,2,0.0,1.0,0.0,1.0,1.0
